id,name,population
ARG,Argentina,1.71
ARM,Armenia,2.31
BLR,Belarus,0
BOL,Bolivia,6.81
BRA,Brazil,3.66
BFA,Burkina Faso,43.73
CMR,Cameroon,23.98
COL,Colombia,5.68
CRI,Costa Rica,1.61
ECU,Ecuador,3.82
SLV,El Salvador,2.97
GEO,Georgia,9.77
GTM,Guatemala,9.32
HND,Honduras,15.96
IDN,Indonesia,8.25
KGZ,Kyrgyzstan,1.29
MRT,Mauritania,5.93
MEX,Mexico,3.04
MDA,Moldova,0
MNG,Mongolia,0.22
MNE,Montenegro,0
NIC,Nicaragua,6.22
NER,Niger,45.7
PAN,Panama,3.77
PRY,Paraguay,2.77
PER,Peru,3.13
POL,Poland,0.01
TJK,Tajikistan,19.51
UKR,Ukraine,0.01
URY,Uruguay,0.3
VNM,Vietnam,3.06
