id,name,population
AFG,Afghanistan,No Data
ALB,Albania,No Data
DZA,Algeria,No Data
ASM,American Samoa,No Data
AND,Andorra,No Data
AGO,Angola,No Data
ATG,Antigua and Barbuda,No Data
ARG,Argentina,0.7
ARM,Armenia,2.3
ABW,Aruba,No Data
AUS,Australia,No Data
AUT,Austria,0.2
AZE,Azerbaijan,No Data
BHS,"Bahamas, The",No Data
BHR,Bahrain,No Data
BGD,Bangladesh,No Data
BRB,Barbados,No Data
BLR,Belarus,0
BEL,Belgium,0
BLZ,Belize,No Data
BEN,Benin,No Data
BMU,Bermuda,No Data
BTN,Bhutan,No Data
BOL,Bolivia,5.8
BIH,Bosnia and Herzegovina,No Data
BWA,Botswana,No Data
BRA,Brazil,2.8
VGB,British Virgin Islands,No Data
BRN,Brunei Darussalam,No Data
BGR,Bulgaria,1.5
BFA,Burkina Faso,43.7
BDI,Burundi,No Data
CPV,Cabo Verde,No Data
KHM,Cambodia,No Data
CMR,Cameroon,23.8
CAN,Canada,No Data
CYM,Cayman Islands,No Data
CAF,Central African Republic,No Data
TCD,Chad,No Data
CHI,Channel Islands,No Data
CHL,Chile,No Data
CHN,China,1.4
COL,Colombia,5
COM,Comoros,No Data
COD,"Congo, Dem. Rep.",No Data
COG,"Congo, Rep.",No Data
CRI,Costa Rica,1.4
CIV,Cote d'Ivoire,No Data
HRV,Croatia,1
CUB,Cuba,No Data
CUW,Curacao,No Data
CYP,Cyprus,0
CZE,Czech Republic,0
DNK,Denmark,0.2
DJI,Djibouti,No Data
DMA,Dominica,No Data
DOM,Dominican Republic,2.3
ECU,Ecuador,2.6
EGY,"Egypt, Arab Rep.",No Data
SLV,El Salvador,3
GNQ,Equatorial Guinea,No Data
ERI,Eritrea,No Data
EST,Estonia,0.7
ETH,Ethiopia,No Data
FRO,Faroe Islands,No Data
FJI,Fiji,No Data
FIN,Finland,0
FRA,France,0
PYF,French Polynesia,No Data
GAB,Gabon,No Data
GMB,"Gambia, The",No Data
GEO,Georgia,5.3
DEU,Germany,No Data
GHA,Ghana,No Data
GIB,Gibraltar,No Data
GRC,Greece,1.5
GRL,Greenland,No Data
GRD,Grenada,No Data
GUM,Guam,No Data
GTM,Guatemala,8.7
GIN,Guinea,No Data
GNB,Guinea-Bissau,No Data
GUY,Guyana,No Data
HTI,Haiti,No Data
HND,Honduras,15.9
HKG,"Hong Kong SAR, China",No Data
HUN,Hungary,0.7
ISL,Iceland,0
IND,India,No Data
IDN,Indonesia,7.9
