Entity,Code,Year,
East Asia and Pacific,,1987,889.37
East Asia and Pacific,,1990,965.9
East Asia and Pacific,,1993,876.84
East Asia and Pacific,,1996,683.82
East Asia and Pacific,,1999,669.03
East Asia and Pacific,,2002,535.09
East Asia and Pacific,,2005,349.21
East Asia and Pacific,,2008,288.19
East Asia and Pacific,,2010,218.19
East Asia and Pacific,,2011,166.92
East Asia and Pacific,,2012,141.82
East Asia and Pacific,,2013,71.02
Europe and Central Asia,,1987,5.22
Europe and Central Asia,,1990,8.88
Europe and Central Asia,,1993,25.39
Europe and Central Asia,,1996,34.06
Europe and Central Asia,,1999,37.28
Europe and Central Asia,,2002,29.25
Europe and Central Asia,,2005,23.23
Europe and Central Asia,,2008,14.62
Europe and Central Asia,,2010,13.65
Europe and Central Asia,,2011,12.52
Europe and Central Asia,,2012,11.53
Europe and Central Asia,,2013,10.3
Latin America and the Caribbean,,1987,62.6
Latin America and the Caribbean,,1990,71.21
Latin America and the Caribbean,,1993,68.26
Latin America and the Caribbean,,1996,70.74
Latin America and the Caribbean,,1999,72.19
Latin America and the Caribbean,,2002,70.6
Latin America and the Caribbean,,2005,60.84
Latin America and the Caribbean,,2008,41.85
Latin America and the Caribbean,,2010,38.84
Latin America and the Caribbean,,2011,36.37
Latin America and the Caribbean,,2012,34.14
Latin America and the Caribbean,,2013,33.59
Middle East and North Africa,,1987,17.48
Middle East and North Africa,,1990,13.66
Middle East and North Africa,,1993,13.58
Middle East and North Africa,,1996,12.44
Middle East and North Africa,,1999,10.45
Middle East and North Africa,,2002,9.55
Middle East and North Africa,,2005,9.17
Middle East and North Africa,,2008,6.66
Middle East and North Africa,,2010,6.71
Middle East and North Africa,,2011,6.95
Middle East and North Africa,,2012,6.37
Middle East and North Africa,,2013,6.14
South Asia,,1987,510.7
South Asia,,1990,505.02
South Asia,,1993,541.48
South Asia,,1996,516.95
South Asia,,1999,531.68
South Asia,,2002,552.35
South Asia,,2005,508.25
South Asia,,2008,464.68
South Asia,,2010,400.33
South Asia,,2011,327.9
South Asia,,2012,293.3
South Asia,,2013,256.24
Sub-Saharan Africa,,1987,252.91
Sub-Saharan Africa,,1990,276.08
Sub-Saharan Africa,,1993,323.08
Sub-Saharan Africa,,1996,346.06
Sub-Saharan Africa,,1999,371.3
Sub-Saharan Africa,,2002,391.28
Sub-Saharan Africa,,2005,381.54
Sub-Saharan Africa,,2008,389.05
Sub-Saharan Africa,,2010,399.14
Sub-Saharan Africa,,2011,395.66
Sub-Saharan Africa,,2012,393.14
Sub-Saharan Africa,,2013,388.72
World,OWID_WRL,1987,1738.28
World,OWID_WRL,1990,1840.47
World,OWID_WRL,1993,1848.52
World,OWID_WRL,1996,1663.88
World,OWID_WRL,1999,1691.93
World,OWID_WRL,2002,1588.12
World,OWID_WRL,2005,1332.41
World,OWID_WRL,2008,1205.03
World,OWID_WRL,2010,1076.86
World,OWID_WRL,2011,946.32
World,OWID_WRL,2012,880.3
World,OWID_WRL,2013,766.01
